img_name,label
train_1.jpg,21
train_2.jpg,29
train_3.jpg,17
train_4.jpg,21
train_5.jpg,50
train_6.jpg,8
train_7.jpg,42
train_8.jpg,68
train_9.jpg,10
train_10.jpg,9
train_11.jpg,39
train_12.jpg,11
train_13.jpg,44
train_14.jpg,49
train_15.jpg,5
train_16.jpg,65
train_17.jpg,61
train_18.jpg,56
train_19.jpg,43
train_20.jpg,54
train_21.jpg,40
train_22.jpg,21
train_23.jpg,23
train_24.jpg,64
train_25.jpg,58
train_26.jpg,33
train_27.jpg,45
train_28.jpg,3
train_29.jpg,12
train_30.jpg,46
train_31.jpg,59
train_32.jpg,3
train_33.jpg,77
train_34.jpg,14
train_35.jpg,13
train_36.jpg,18
train_37.jpg,77
train_38.jpg,54
train_39.jpg,64
train_40.jpg,69
train_41.jpg,47
train_42.jpg,63
train_43.jpg,56
train_44.jpg,52
train_45.jpg,44
train_46.jpg,66
train_47.jpg,80
train_48.jpg,30
train_49.jpg,80
train_50.jpg,12
train_51.jpg,55
train_52.jpg,53
train_53.jpg,68
train_54.jpg,19
train_55.jpg,69
train_56.jpg,61
train_57.jpg,67
train_58.jpg,29
train_59.jpg,9
train_60.jpg,78
train_61.jpg,24
train_62.jpg,78
train_63.jpg,2
train_64.jpg,17
train_65.jpg,25
train_66.jpg,39
train_67.jpg,37
train_68.jpg,45
train_69.jpg,57
train_70.jpg,36
train_71.jpg,64
train_72.jpg,6
train_73.jpg,46
train_74.jpg,1
train_75.jpg,72
train_76.jpg,27
train_77.jpg,60
train_78.jpg,72
train_79.jpg,31
train_80.jpg,48
train_81.jpg,74
train_82.jpg,60
train_83.jpg,54
train_84.jpg,52
train_85.jpg,30
train_86.jpg,72
train_87.jpg,43
train_88.jpg,51
train_89.jpg,80
train_90.jpg,57
train_91.jpg,13
train_92.jpg,60
train_93.jpg,46
train_94.jpg,15
train_95.jpg,26
train_96.jpg,13
train_97.jpg,49
train_98.jpg,75
train_99.jpg,44
train_100.jpg,19
train_101.jpg,21
train_102.jpg,52
train_103.jpg,50
train_104.jpg,17
train_105.jpg,5
train_106.jpg,8
train_107.jpg,14
train_108.jpg,40
train_109.jpg,19
train_110.jpg,58
train_111.jpg,64
train_112.jpg,17
train_113.jpg,62
train_114.jpg,77
train_115.jpg,4
train_116.jpg,22
train_117.jpg,47
train_118.jpg,8
train_119.jpg,41
train_120.jpg,9
train_121.jpg,79
train_122.jpg,55
train_123.jpg,34
train_124.jpg,73
train_125.jpg,15
train_126.jpg,68
train_127.jpg,57
train_128.jpg,22
train_129.jpg,41
train_130.jpg,55
train_131.jpg,53
train_132.jpg,29
train_133.jpg,57
train_134.jpg,1
train_135.jpg,11
train_136.jpg,72
train_137.jpg,67
train_138.jpg,29
train_139.jpg,73
train_140.jpg,45
train_141.jpg,74
train_142.jpg,77
train_143.jpg,26
train_144.jpg,7
train_145.jpg,63
train_146.jpg,62
train_147.jpg,68
train_148.jpg,75
train_149.jpg,14
train_150.jpg,48
train_151.jpg,71
train_152.jpg,47
train_153.jpg,62
train_154.jpg,35
train_155.jpg,10
train_156.jpg,24
train_157.jpg,62
train_158.jpg,55
train_159.jpg,52
train_160.jpg,57
train_161.jpg,15
train_162.jpg,50
train_163.jpg,34
train_164.jpg,2
train_165.jpg,38
train_166.jpg,55
train_167.jpg,76
train_168.jpg,49
train_169.jpg,30
train_170.jpg,61
train_171.jpg,14
train_172.jpg,50
train_173.jpg,58
train_174.jpg,45
train_175.jpg,15
train_176.jpg,62
train_177.jpg,15
train_178.jpg,25
train_179.jpg,51
train_180.jpg,18
